subject,subject name,topic,links,notes
BIOL,Biology,Intro to Genetics,https://www.youtube.com/playlist?list=PLmVYuxv4mIil1yNrudAoGL1Ilqd2rkAjI,Genetics Lectures by Dr. LeBlanc
BIOL,Biology,Intro to Genetics,https://www.youtube.com/playlist?list=PL5xvztUyPgDoQOnuWsLbrlqShE27M9PQD,Genetics Lectures
BIOL,Biology,Cell and Molecular Biology,https://www.youtube.com/playlist?list=PLM-fEXhZpwBZHPpJ1KYd41D6K_zuxFDKN,Molecular Biology W17
BIOL,Biology,Cell and Molecular Biology,https://www.youtube.com/playlist?list=PLmQ2jhil-rghL3OFIEqKh_O6Prm4TpOoA,Molecular Cell Biology
BIOL,Biology,Organismal Biology,https://www.youtube.com/playlist?list=PLYbH7YR3H9YuyLIcKgiQvn1zXjJ8jcxCb,Bio 61 - Organismal Biology
BIOL,Biology,Evolution and Ecology,https://www.youtube.com/playlist?list=PL6299F3195349CCDA,"Evolution, Ecology and Behavior with Stephen C. Stearns"
BIOL,Biology,General Biology,https://www.youtube.com/playlist?list=PLAvN9Mc52FKG3AHBA56I2ZP31a5Jz7lIq,UC Berkeley Biology Lectures
BIOL,Biology,General Biology,https://www.youtube.com/playlist?list=PLpPhRMmGY0Sg9wgXbeJTKsvxHDZWFLzwU,Biology Lectures UC Berkeley
BIOL,Biology,Human Reproduction,https://www.youtube.com/playlist?list=PLw4_E5WmrJxsyaSJ4_w0gfKPQDq_St8Fg,Human Reproduction - Playlist | NEET Biology Lectures | Vedantu NEET Preparation | Dr. Vani Sood | Vedantu Biotonic
BIOL,Biology,Anatomy,https://www.youtube.com/playlist?list=PLekhl8ZQS2PbLtpx03GUbTH5CKqPZA2r_,Professor Fink Human Anatomy Lectures
BUS,Business,Accounting and Auditing,https://www.youtube.com/playlist?list=PLC92A94BD09C0EDF7,Accounting - Managerial Accounting by Prof. Myles Bassell
BUS,Business,Accounting and Auditing,https://www.youtube.com/playlist?list=PLauepKFT6DK8NyFE0ka3-uHm3L4vdKfLl,Auditing - Professor Brown Liburd (Spring 2014)
BUS,Business,Business Analytics,https://www.youtube.com/playlist?list=PL7YpQX2wVDBiBcTU3szgXBY6RsLPkqEBu,Practical Business Analytics Lecture Series @ University of Surrey
BUS,Business,Finance,https://www.youtube.com/playlist?list=PL9kJ0dEarJ5NeE0F2LovGS3qcVQx_pVTJ,$ College Courses
BUS,Business,Finance,https://www.youtube.com/playlist?list=PLVRKQWHHTPX_XOD7efakiduqE6g5nddzL,Corporate Finance(Best lectures from Harvard)
BUS,Business,Information Systems,https://www.youtube.com/playlist?list=PL5LjU6u_CBdVz63JVYLad52t0PBKeFLro,MIS LECTURES
BUS,Business,Information Systems,https://www.youtube.com/playlist?list=PLM8O2eH9K-MguTH1ITu1rjMIDbtKCyL-O,Management Information System in Hindi Urdu
BUS,Business,Management,https://www.youtube.com/playlist?list=PLF1DBCAC25C2BC963,Management Lectures from NPTEL
BUS,Business,Marketing and Distribution Management,https://www.youtube.com/playlist?list=PLByMooBE3Mif9_X7UNOX2LAjqTpzc1NbB,Marketing Basics : Prof Myles Bassell
BUS,Business,Operations & Supply Chain Management,https://www.youtube.com/playlist?list=PLIVUEy5yGD1xeIdlE8i5TfqWTL8wI4fWO,Operations Management Graduate MBA Course Lectures
BUS,Business,Operations & Supply Chain Management,https://www.youtube.com/playlist?list=PLF9071540F59BA1F0,MIT ESD.290 Special Topics in Supply Chain Management
BUS,Business,Oganizational Behavior,https://www.youtube.com/playlist?list=PLbMVogVj5nJQYXoO3foSZ6CrU7aCCwTsb,Management - Organizational Behaviour
CHE,Chemical and Environmental Engineering,Chemical Process Design,https://www.youtube.com/playlist?list=PLbMVogVj5nJS8aivkHJC_5KMvYj7wMcvk,Chemical - Process Design Decisions and Project Economics
CHE ,Chemical and Environmental Engineering,Corrosion,https://www.youtube.com/playlist?list=PLi2m25LNRIFRbXXqhg8gEQof7h0uwaTl_,Corrosion Lectures with notes
CHE ,Chemical and Environmental Engineering,Intro to Nanoengineering,https://www.youtube.com/playlist?list=PLDWWe8s4FZ0sIbW9JBGN7DWaPK-ntEMxn,NANO 11/101 - Intro to Nanoengineering - UCSD
CHE ,Chemical and Environmental Engineering,Fluid Dynamics,https://www.youtube.com/playlist?list=PLZOZfX_TaWAGocs2k5QmTL44OKOl7rn34,Fluid Mechanics I - Dr. Biddle's lecture series
CHE ,Chemical and Environmental Engineering,Fluid Dynamics,https://www.youtube.com/playlist?list=PLVEA9JIiyOh0l8AwGxsaYrp5o7uUl-0JK,"Fluid Mechanics, UC Irvine"
CHE ,Chemical and Environmental Engineering,Fluid Dynamics,https://www.youtube.com/playlist?list=PL3332087079A9832B,Computational Fluid Dynamics - Boston University
CHE ,Chemical and Environmental Engineering,Chemical Process and Analysis,https://www.youtube.com/playlist?list=PLJ3IRwxyit3ewQBYKFBTNYUJyjsgUlr8T,Chemical Process Modeling and Simulation
CHE ,Chemical and Environmental Engineering,Heat Transfer,https://www.youtube.com/playlist?list=PLZOZfX_TaWAE6nTX50dJl0Jia8iQTIhrG,Heat Transfer: Dr. John Biddle's Lecture Series
CHE ,Chemical and Environmental Engineering,Intro to Chemical Engineering,https://www.youtube.com/playlist?list=PLD2D34BCA5468DD9A,Lecture Collection | Introduction to Chemical Engineering
CHEM,Chemistry,Organic Chemistry,https://www.youtube.com/playlist?list=PL3F629F73640F831D,Freshman Organic Chemistry with J. Michael McBride
CHEM,Chemistry,Organic Chemistry,https://www.youtube.com/playlist?list=PL6539BAED55972D64,Chemistry 51A Organic Chemistry
CHEM,Chemistry,General Chemistry ,https://www.youtube.com/playlist?list=PLUl4u3cNGP63LOmB3_O0xbgZVZibxj4rb,"MIT 5.111 Principles of Chemical Science, Fall 2014"
CHEM,Chemistry,Inorganic Chemistry,https://www.youtube.com/playlist?list=PLaLOVNqqD-2GDVq2xFUuAltjIXPgQNNTL,UC Irvine: Chemistry 107: Inorganic Chemistry
CHEM,Chemistry,Analytical Chemistry,https://www.youtube.com/playlist?list=PLLilrKdbjXDEgE97_TnAZJ0-XZrLlO1Pn,CH403 Analytical Chemistry (CHEM355 Quantitative Analysis; HARRIS TEXTBOOK LECTURES)
CHEM,Chemistry,Physical Chemistry,https://www.youtube.com/playlist?list=PLUl4u3cNGP62RsEHXe48Imi9-87FzQaJg,"MIT 5.61 Physical Chemistry, Fall 2017"
CHEM,Chemistry,Bioinorganic Chemistry,https://www.youtube.com/playlist?list=PLUl4u3cNGP63vvR4xtexZdoPywRYIZI0-,"MIT 5.08J Biological Chemistry II, Spring 2016"
CHEM,Chemistry,Environmental Chemistry,https://www.youtube.com/playlist?list=PLXmyXKKAtgJTdbEqXQ_uB_HgouXTo8F0q,Environmental Chemistry
CHEM,Chemistry,Polymer Chemistry,https://www.youtube.com/playlist?list=PLQzQmMdxMv853GFf5mb1JdMId3FW8JsEx,Polymer chemistry
CHEM,Chemistry,Biochemistry,https://www.youtube.com/playlist?list=PL69D27DEB1DF47B16,BB 450/550 Biochemistry Lectures by Kevin Ahern Fall 2011
CHEM,Chemistry,Thermodynamics and Kinetics,https://www.youtube.com/playlist?list=PLF6C6594F42ECEE0D,THERMODYNAMICS - MIT Lectures
CHEM,Chemistry,Thermodynamics and Kinetics,https://www.youtube.com/playlist?list=PLj4YiOgq320oKiPZFDB-n964LgwZRas4l,Kinetics
CHEM,Chemistry,Spectroscopy,https://www.youtube.com/playlist?list=PLC86CC98DDF0CDDAC,"Chemistry 203, Organic Spectroscopy"
CS,Computer Science,Introduction to Computing,https://www.youtube.com/playlist?list=PL3swII2vlVoXiqUBV524pKEsP1iBN4UBU,CS24-Sp18-Introduction-To-Computing-System
