subject,subject name,topic,links,notes
BIOL,Biology,Intro to Genetics,https://www.youtube.com/playlist?list=PLmVYuxv4mIil1yNrudAoGL1Ilqd2rkAjI,Genetics Lectures by Dr. LeBlanc
BIOL,Biology,Intro to Genetics,https://www.youtube.com/playlist?list=PL5xvztUyPgDoQOnuWsLbrlqShE27M9PQD,Genetics Lectures
BIOL,Biology,Cell and Molecular Biology,https://www.youtube.com/playlist?list=PLM-fEXhZpwBZHPpJ1KYd41D6K_zuxFDKN,Molecular Biology W17
BUS,Business,Accounting and Auditing,https://www.youtube.com/playlist?list=PLC92A94BD09C0EDF7,Accounting - Managerial Accounting by Prof. Myles Bassell
BUS,Business,Accounting and Auditing,https://www.youtube.com/playlist?list=PLauepKFT6DK8NyFE0ka3-uHm3L4vdKfLl,Auditing - Professor Brown Liburd (Spring 2014)
BUS,Business,Business Analytics,https://www.youtube.com/playlist?list=PL7YpQX2wVDBiBcTU3szgXBY6RsLPkqEBu,Practical Business Analytics Lecture Series @ University of Surrey
CHEM,Chemistry,Organic Chemistry,https://www.youtube.com/playlist?list=PL3F629F73640F831D,Freshman Organic Chemistry with J. Michael McBride
CHEM,Chemistry,Organic Chemistry,https://www.youtube.com/playlist?list=PL6539BAED55972D64,Chemistry 51A Organic Chemistry
CHEM,Chemistry,General Chemistry ,https://www.youtube.com/playlist?list=PLUl4u3cNGP63LOmB3_O0xbgZVZibxj4rb,"MIT 5.111 Principles of Chemical Science, Fall 2014"
CS,Computer Science,Introduction to Computing,https://www.youtube.com/playlist?list=PL3swII2vlVoXiqUBV524pKEsP1iBN4UBU,CS24-Sp18-Introduction-To-Computing-System
CS,Computer Science,Intro to Algorithms and Data Structures,https://www.youtube.com/playlist?list=PLkToMFwOtNHiJtcBu0piSLKnLVGOF9vaV,MIT data structure and algorithms 2015
CS,Computer Science,Intro to Machine Learning,https://www.youtube.com/playlist?list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU,Stanford CS229: Machine Learning | Autumn 2018
ECON,Economics,Macroeconomics,https://www.youtube.com/playlist?list=PLdLiRaajwSXRcJxAeIHjVGukaJZoJtkXz,ECO 155: Principles of Macroeconomics
ECON,Economics,Microecnomics,https://www.youtube.com/playlist?list=PL61533C166E8B0028,MIT 14.01SC Principles of Microeconomics
ECON,Economics,Financial Accounting and Reporting,https://www.youtube.com/playlist?list=PLYrIr2-uY4ZVegyMNw37SLbIMvBvWHwU9,Financial Accounting and Reporting (FAR)
ENGL,English,Beginning Composition,https://www.youtube.com/playlist?list=PLmiiKbPDy3-GavZjX-FeU29ImhtI1YZZf,Composition (Lectures)
ENGL ,English,English Composition,https://www.youtube.com/playlist?list=PLJYD3IqnCF5nTh1PnEGJCHaJ4z8_WFXe8,ENGL 1101 Lectures
ENGL,English,Technical Writing,https://www.youtube.com/playlist?list=PLGHuut3eTJ_LutSQRL_Mkj6oxjFde5STx,ENGL 421Y: Spring 2017
HIST,History,World History: Prehistory to 1800's,https://www.youtube.com/playlist?list=PL77A337915A76F660,"The Early Middle Ages, 284--1000 with Paul Freedman"
HIST,History,American History,https://www.youtube.com/playlist?list=PL5DD220D6A1282057,The Civil War and Reconstruction with David Blight
HIST,History,American History,https://www.youtube.com/playlist?list=PLDA2BC5E785D495AB,The American Revolution with Joanne B. Freeman
MATH,Math,Intermediate Algebra,https://www.youtube.com/playlist?list=PLC292123722B1B450,Professor Leonard Intermediate Algebra
MATH,Math,First-Year Calculus,https://www.youtube.com/playlist?list=PLF797E961509B4EB5,Professor Leonard Calculus 1
MATH,Math,Intermediate Calculus,https://www.youtube.com/playlist?list=PLaLOVNqqD-2GO9LGv7rMV_3-xkxrSs3ZO,NCSU: MA 241 - Calculus II
PHIL,Philosophy,Human Nature,https://www.youtube.com/playlist?list=PL3F6BC200B2930084,Philosophy and the Science of Human Nature w/ Tamar Gendler
PHIL,Philosophy,Critical Thinking and Logic,https://www.youtube.com/playlist?list=PLCF98418AFB59232D,Critical Thinking & Logic Lectures
PHIL,Philosophy,Ancient Greek or Roman Philosophy,https://www.youtube.com/playlist?list=PL9GwT4_YRZdBf9nIUHs0zjrnUVl-KBNSM,Arthur Holmes: A History of Philosophy
PHYS,Physics,General Physics,https://www.youtube.com/playlist?list=PL561F7ACE736068D5,General physics 1
PHYS,Physics,Classical Mechanics,https://www.youtube.com/playlist?list=PL5E4E56893588CBA8,Core - Classical Physics
PHYS,Physics,Thermal Physics,https://www.youtube.com/playlist?list=PLcDlpDIJWDzgDpOZdjLcw1c7BdVkH_CkP,Thermal and Statistical Physics 1 Lecture videos
PSYC,Psychology,Clinical Psychology,https://www.youtube.com/playlist?list=PLjjVfXgqEfhgT8As4ZsNetrVoFQIG6Xcg,INT. TO CLINICAL PSYCHOLOGY (COURSE) U.H
PSYC,Psychology,Cultural Psychology,https://www.youtube.com/playlist?list=PL5000C8B6C858E277,PSYC 2344
PSYC,Psychology,Emotional Psychology,https://www.youtube.com/playlist?list=PLh9mgdi4rNewieO9Dsj-OhNBC9bF4FoRp,Human Emotion with June Gruber
